"Segment","year","sales"
"Small","2008",5131578
"Lower Medium","2008",3522823
"Upper Medium","2008",1978749
"Luxury","2008",531279
"MPV","2008",2098694
"SUV","2008",1188875
"Small","2009",5805848
"Lower Medium","2009",3351245
"Upper Medium","2009",1640953
"Luxury","2009",421801
"MPV","2009",1854211
"SUV","2009",1214073
"Small","2010",5117945
"Lower Medium","2010",3052087
"Upper Medium","2010",1501089
"Luxury","2010",478107
"MPV","2010",1774763
"SUV","2010",1544099
"Small","2011",4551419
"Lower Medium","2011",2922973
"Upper Medium","2011",1587517
"Luxury","2011",514983
"MPV","2011",1799559
"SUV","2011",1840303
"Small","2012",4084680
"Lower Medium","2012",2577341
"Upper Medium","2012",1404298
"Luxury","2012",459626
"MPV","2012",1651183
"SUV","2012",1934615
"Small","2013",3922738
"Lower Medium","2013",2722350
"Upper Medium","2013",1162584
"Luxury","2013",432219
"MPV","2013",1540280
"SUV","2013",2116019
"Small","2014",4035882
"Lower Medium","2014",2896978
"Upper Medium","2014",1151732
"Luxury","2014",432143
"MPV","2014",1490666
"SUV","2014",2556383
"Small","2015",4357551
"Lower Medium","2015",3074351
"Upper Medium","2015",1295316
"Luxury","2015",425491
"MPV","2015",1475714
"SUV","2015",3104917
"Small","2016",4419165
"Lower Medium","2016",3188521
"Upper Medium","2016",1386976
"Luxury","2016",420768
"MPV","2016",1494036
"SUV","2016",3753985
"Small","2017",4384412
"Lower Medium","2017",3119373
"Upper Medium","2017",1282955
"Luxury","2017",480858
"MPV","2017",1422888
"SUV","2017",4466481
"Small","2018",4349533
"Lower Medium","2018",2840149
"Upper Medium","2018",1113492
"Luxury","2018",485863
"MPV","2018",1203714
"SUV","2018",5300298
"Small","2019",4189781
"Lower Medium","2019",2701362
"Upper Medium","2019",1110332
"Luxury","2019",436723
"MPV","2019",1098586
"SUV","2019",5918297
