"Date","Open","High","Low","Close","Adj.Close","Volume"
1996-11-01,18.21,19.72,18.08,19.69,8.52,11128000
1996-12-01,19.68,21.42,19.39,21.04,9.11,11986000
1997-01-01,20.67,22.12,20.06,20.63,8.93,16887000
1997-02-01,20.59,23.97,20.27,22.38,9.69,14716000
1997-03-01,22.23,27.14,22.22,26.35,11.41,22815000
1997-04-01,25.76,29.3,23.72,28.11,12.17,26897000
1997-05-01,28.38,30.28,26.86,27.33,11.83,10764000
1997-06-01,27.24,28.79,26.81,27.96,12.11,16424200
1997-07-01,28.08,30.46,27.63,29.1,12.6,19804200
1997-08-01,29.22,29.5,24.58,25.07,10.85,20862400
1997-09-01,24.9,29.96,24.89,29.36,12.71,74024600
1997-10-01,29.46,29.79,19.7,24.93,10.79,70127200
1997-11-01,25.37,26.53,21.99,26.15,11.32,53552200
1997-12-01,26.53,28.5,23.72,26.35,11.41,9799400
1998-01-01,26.45,29.1,24.19,28.67,12.41,14500200
1998-02-01,29.01,36.58,28.69,36.28,15.71,23233600
1998-03-01,36.36,42.48,35.51,40.33,17.46,25188800
1998-04-01,39.9,44.23,37.07,39.76,17.21,16354000
1998-05-01,39.72,41.3,33.04,36.08,15.62,16229200
1998-06-01,36.18,39.96,33.42,35.75,15.48,21031400
1998-07-01,36.08,39.17,32.94,34.76,15.05,36696801
1998-08-01,33.53,33.63,25.62,25.64,11.1,44088304
1998-09-01,24.52,27.2,19.33,20.86,9.03,63755150
1998-10-01,20.25,23.89,17.8,22.52,9.75,59208307
1998-11-01,22.81,27.26,20.06,25.55,11.06,46772504
1998-12-01,25.17,25.92,19.89,24.76,10.72,54863704
1999-01-01,23.89,29.61,22.5,23.96,10.37,34229894
1999-02-01,23.85,29.4,23.54,25.5,11.04,55773805
1999-03-01,25.54,25.77,22.58,23.31,10.09,47810185
1999-04-01,23.04,26.48,22.89,25.34,10.97,31004540
1999-05-01,25.85,27.19,23.27,23.28,10.08,21901162
1999-06-01,23.44,27.31,23.2,25.71,11.13,43205352
1999-07-01,26.23,28.85,25.42,27,11.69,37280680
1999-08-01,28.35,30.37,26.17,30,12.99,28654692
1999-09-01,29.61,32.69,26.32,27.04,11.71,27288818
1999-10-01,26.75,31.24,26.31,31,13.42,20645704
1999-11-01,30.5,31.4,25.5,25.78,11.16,27386497
1999-12-01,26.48,31,26.26,31,13.42,30245576
2000-01-01,31,32,23.1,23.6,10.22,33262328
2000-02-01,24.09,28.6,23.41,26.66,11.54,43108580
2000-03-01,27.01,35.4,24.9,33.15,14.35,85286299
2000-04-01,33.43,33.94,27.4,29.6,12.81,27540281
2000-05-01,29.6,35.19,29.6,32.6,14.11,25299282
2000-06-01,32.15,34.98,30.75,31.6,13.85,29532567
2000-07-01,31.7,38.66,31.2,36.7,16.08,22686339
2000-08-01,38.3,38.35,35.2,36.55,16.01,18438150
2000-09-01,36.1,39.35,35.62,38.8,17,21252894
2000-10-01,38.6,41.77,36.61,38.04,16.67,19196331
2000-11-01,38.96,40.74,33.31,34.43,15.08,23654437
2000-12-01,34.3,37.25,31.92,34.9,15.29,22129399
2001-01-01,34.9,39.39,32.4,37.3,16.34,21749491
2001-02-01,37.49,40.5,37.22,38.06,16.68,18633296
2001-03-01,37.67,39.69,31.02,34.57,15.15,54785855
2001-04-01,34.85,38.49,33.22,37.4,16.39,23344255
2001-05-01,37.4,42.25,37.4,40.11,17.57,33345825
2001-06-01,40.3,41.51,37.47,39.1,17.33,26023574
2001-07-01,38.57,40.9,37.96,40.49,17.95,31111657
2001-08-01,40.53,41.82,33.7,35.15,15.58,45713788
2001-09-01,34.96,38.35,21.65,28.03,12.42,68457701
