"","2016","2017","2018","2019","2020"
"January","845","847","868","484","633"
"February","815","833","762","695","580"
"March","1.439","1.593","1.256","1.032","611"
"April","1.273","946","842","1.027","251"
"May","1.132","1.096","741","903","274"
"June","1.523","1.136","1.040","916","469"
"July","997","872","669","823","695"
"August","722","699","544","485","473"
"September","1.356","1.205","799","745","731"
"October","1.092","651","711","746",NA
"November","1.036","827","657","637",NA
"December","1.090","828","663","755",NA
