"","2016","2017","2018","2019","2020"
"January","3.648","2.916","3.228","7.874","5.964"
"February","2.762","2.536","2.922","6.097","4.339"
"March","5.294","5.081","3.759","6.343","4.285"
"April","3.746","3.195","4.436","6.230","3.930"
"May","3.951","3.459","5.392","6.130","5.421"
"June","4.990","4.494","7.000","6.657","5.507"
"July","3.645","2.877","5.294","5.741","4.870"
"August","2.627","2.361","4.450","6.145","4.284"
"September","5.375","5.561","7.630","8.105","6.940"
"October","3.817","2.269","6.285","6.336",NA
"November","3.749","3.680","6.979","7.649",NA
"December","3.851","2.926","6.106","8.158",NA
