month;year;Model;Sales
1;2016;BMW 3-series;9092
2;2016;BMW 3-series;11424
3;2016;BMW 3-series;17785
4;2016;BMW 3-series;11507
5;2016;BMW 3-series;12693
6;2016;BMW 3-series;13703
7;2016;BMW 3-series;10946
8;2016;BMW 3-series;6843
9;2016;BMW 3-series;15816
10;2016;BMW 3-series;11202
11;2016;BMW 3-series;12423
12;2016;BMW 3-series;11127
1;2017;BMW 3-series;8423
2;2017;BMW 3-series;10083
3;2017;BMW 3-series;18949
4;2017;BMW 3-series;10520
5;2017;BMW 3-series;10707
6;2017;BMW 3-series;13414
7;2017;BMW 3-series;9506
8;2017;BMW 3-series;7435
9;2017;BMW 3-series;12017
10;2017;BMW 3-series;7684
11;2017;BMW 3-series;9877
12;2017;BMW 3-series;10438
1;2018;BMW 3-series;7955
2;2018;BMW 3-series;7140
3;2018;BMW 3-series;13371
4;2018;BMW 3-series;8270
5;2018;BMW 3-series;9001
6;2018;BMW 3-series;11623
7;2018;BMW 3-series;8823
8;2018;BMW 3-series;7055
9;2018;BMW 3-series;10085
10;2018;BMW 3-series;9354
11;2018;BMW 3-series;8360
12;2018;BMW 3-series;5954
1;2019;BMW 3-series;6872
2;2019;BMW 3-series;6545
3;2019;BMW 3-series;12748
4;2019;BMW 3-series;10251
5;2019;BMW 3-series;11466
6;2019;BMW 3-series;11246
7;2019;BMW 3-series;8527
8;2019;BMW 3-series;6333
9;2019;BMW 3-series;12805
10;2019;BMW 3-series;11101
11;2019;BMW 3-series;13233
12;2019;BMW 3-series;13410
1;2020;BMW 3-series;12543
2;2020;BMW 3-series;10613
3;2020;BMW 3-series;11772
4;2020;BMW 3-series;4029
5;2020;BMW 3-series;4053
6;2020;BMW 3-series;9130
7;2020;BMW 3-series;13192
8;2020;BMW 3-series;7683
9;2020;BMW 3-series;9137
10;2020;BMW 3-series;NA
11;2020;BMW 3-series;NA
12;2020;BMW 3-series;NA
1;2016;BMW 2-series Active Tourer  Gran Tourer;7121
2;2016;BMW 2-series Active Tourer  Gran Tourer;7843
3;2016;BMW 2-series Active Tourer  Gran Tourer;11995
4;2016;BMW 2-series Active Tourer  Gran Tourer;8566
5;2016;BMW 2-series Active Tourer  Gran Tourer;8756
6;2016;BMW 2-series Active Tourer  Gran Tourer;10954
7;2016;BMW 2-series Active Tourer  Gran Tourer;6602
8;2016;BMW 2-series Active Tourer  Gran Tourer;5993
9;2016;BMW 2-series Active Tourer  Gran Tourer;9277
10;2016;BMW 2-series Active Tourer  Gran Tourer;7942
11;2016;BMW 2-series Active Tourer  Gran Tourer;7960
12;2016;BMW 2-series Active Tourer  Gran Tourer;7493
1;2017;BMW 2-series Active Tourer  Gran Tourer;7124
2;2017;BMW 2-series Active Tourer  Gran Tourer;6008
3;2017;BMW 2-series Active Tourer  Gran Tourer;9627
4;2017;BMW 2-series Active Tourer  Gran Tourer;7049
5;2017;BMW 2-series Active Tourer  Gran Tourer;7617
6;2017;BMW 2-series Active Tourer  Gran Tourer;8885
7;2017;BMW 2-series Active Tourer  Gran Tourer;6167
8;2017;BMW 2-series Active Tourer  Gran Tourer;4939
9;2017;BMW 2-series Active Tourer  Gran Tourer;8487
10;2017;BMW 2-series Active Tourer  Gran Tourer;5857
11;2017;BMW 2-series Active Tourer  Gran Tourer;6702
12;2017;BMW 2-series Active Tourer  Gran Tourer;6793
1;2018;BMW 2-series Active Tourer  Gran Tourer;5841
2;2018;BMW 2-series Active Tourer  Gran Tourer;5621
3;2018;BMW 2-series Active Tourer  Gran Tourer;8663
4;2018;BMW 2-series Active Tourer  Gran Tourer;4869
5;2018;BMW 2-series Active Tourer  Gran Tourer;5747
6;2018;BMW 2-series Active Tourer  Gran Tourer;8204
7;2018;BMW 2-series Active Tourer  Gran Tourer;5719
8;2018;BMW 2-series Active Tourer  Gran Tourer;5020
9;2018;BMW 2-series Active Tourer  Gran Tourer;6186
10;2018;BMW 2-series Active Tourer  Gran Tourer;5448
11;2018;BMW 2-series Active Tourer  Gran Tourer;3657
12;2018;BMW 2-series Active Tourer  Gran Tourer;3392
1;2019;BMW 2-series Active Tourer  Gran Tourer;4178
2;2019;BMW 2-series Active Tourer  Gran Tourer;3907
3;2019;BMW 2-series Active Tourer  Gran Tourer;6192
4;2019;BMW 2-series Active Tourer  Gran Tourer;5182
5;2019;BMW 2-series Active Tourer  Gran Tourer;5450
6;2019;BMW 2-series Active Tourer  Gran Tourer;5445
7;2019;BMW 2-series Active Tourer  Gran Tourer;5228
8;2019;BMW 2-series Active Tourer  Gran Tourer;4415
9;2019;BMW 2-series Active Tourer  Gran Tourer;5995
10;2019;BMW 2-series Active Tourer  Gran Tourer;4799
11;2019;BMW 2-series Active Tourer  Gran Tourer;2800
12;2019;BMW 2-series Active Tourer  Gran Tourer;2283
1;2020;BMW 2-series Active Tourer  Gran Tourer;3378
2;2020;BMW 2-series Active Tourer  Gran Tourer;2915
3;2020;BMW 2-series Active Tourer  Gran Tourer;2550
4;2020;BMW 2-series Active Tourer  Gran Tourer;1284
5;2020;BMW 2-series Active Tourer  Gran Tourer;1026
