"model";"sales";"year";"type"
"Volkswagen Golf";445303;"2018";"compact_car"
"Ford Focus";199197;"2018";"compact_car"
"Skoda Octavia";216676;"2018";"compact_car"
"Mercedes-Benz A-Class";153882;"2018";"compact_car"
"Peugeot 308";153651;"2018";"compact_car"
"Opel/Vauxhall Astra";158674;"2018";"compact_car"
"Seat Leon";139470;"2018";"compact_car"
"Toyota Corolla";15041;"2018";"compact_car"
"Renault Megane";138077;"2018";"compact_car"
"Audi A3 / S3 / RS3";142414;"2018";"compact_car"
"BMW 1-series";127681;"2018";"compact_car"
"Kia Ceed";71848;"2018";"compact_car"
"Fiat Tipo";102341;"2018";"compact_car"
"Hyundai i30";79497;"2018";"compact_car"
"Mercedes-Benz CLA";58522;"2018";"compact_car"
"Volvo V40";56545;"2018";"compact_car"
"Skoda Scala";0;"2018";"compact_car"
"Honda Civic";43256;"2018";"compact_car"
"Mazda3";38514;"2018";"compact_car"
"Hyundai Ioniq";31777;"2018";"compact_car"
"Nissan Leaf";38740;"2018";"compact_car"
"Skoda Rapid";60906;"2018";"compact_car"
"BMW 2-series Coupe & Convertible";35269;"2018";"compact_car"
"Mini Clubman";25953;"2018";"compact_car"
"Toyota Auris";111912;"2018";"compact_car"
"Alfa Romeo Giulietta";26632;"2018";"compact_car"
"Toyota Prius";12253;"2018";"compact_car"
"Citroën C-Elysee";11737;"2018";"compact_car"
"Lexus CT";8783;"2018";"compact_car"
"Opel Ampera-e";2731;"2018";"compact_car"
"Hyundai Elantra";1942;"2018";"compact_car"
"Lada Vesta";1256;"2018";"compact_car"
"Subaru Impreza";2189;"2018";"compact_car"
"Peugeot 301";2151;"2018";"compact_car"
"Infiniti Q30";3062;"2018";"compact_car"
"Seat Toledo";5820;"2018";"compact_car"
"Nissan Pulsar";16161;"2018";"compact_car"
"Volkswagen Beetle";13394;"2018";"compact_car"
"DS4";6012;"2018";"compact_car"
"Citroën C4";14926;"2018";"compact_car"
"Volkswagen Jetta";4190;"2018";"compact_car"
"Mitsubishi Lancer";676;"2018";"compact_car"
"Volkswagen Scirocco";958;"2018";"compact_car"
"Volkswagen Golf";410779;"2019";"compact_car"
"Ford Focus";224401;"2019";"compact_car"
"Skoda Octavia";218439;"2019";"compact_car"
"Mercedes-Benz A-Class";198926;"2019";"compact_car"
"Peugeot 308";141060;"2019";"compact_car"
"Opel/Vauxhall Astra";136638;"2019";"compact_car"
"Seat Leon";136622;"2019";"compact_car"
"Toyota Corolla";133597;"2019";"compact_car"
"Renault Megane";129222;"2019";"compact_car"
"Audi A3 / S3 / RS3";124422;"2019";"compact_car"
"BMW 1-series";112068;"2019";"compact_car"
"Kia Ceed";100676;"2019";"compact_car"
"Fiat Tipo";84789;"2019";"compact_car"
"Hyundai i30";75739;"2019";"compact_car"
"Mercedes-Benz CLA";61958;"2019";"compact_car"
"Volvo V40";38795;"2019";"compact_car"
"Skoda Scala";38062;"2019";"compact_car"
"Honda Civic";37486;"2019";"compact_car"
"Mazda3";34874;"2019";"compact_car"
"Hyundai Ioniq";31978;"2019";"compact_car"
"Nissan Leaf";31792;"2019";"compact_car"
"Skoda Rapid";28110;"2019";"compact_car"
"BMW 2-series Coupe & Convertible";26867;"2019";"compact_car"
"Mini Clubman";23933;"2019";"compact_car"
"Toyota Auris";23643;"2019";"compact_car"
"Alfa Romeo Giulietta";15690;"2019";"compact_car"
"Toyota Prius";7455;"2019";"compact_car"
"Citroën C-Elysee";6375;"2019";"compact_car"
"Lexus CT";5295;"2019";"compact_car"
"Opel Ampera-e";2510;"2019";"compact_car"
"Hyundai Elantra";1779;"2019";"compact_car"
"Lada Vesta";1621;"2019";"compact_car"
"Subaru Impreza";1464;"2019";"compact_car"
"Peugeot 301";1406;"2019";"compact_car"
"Infiniti Q30";1380;"2019";"compact_car"
"Seat Toledo";1281;"2019";"compact_car"
"Nissan Pulsar";560;"2019";"compact_car"
"Volkswagen Beetle";383;"2019";"compact_car"
"DS4";192;"2019";"compact_car"
"Citroën C4";129;"2019";"compact_car"
"Volkswagen Jetta";84;"2019";"compact_car"
"Mitsubishi Lancer";22;"2019";"compact_car"
"Volkswagen Scirocco";3;"2019";"compact_car"
"Volkswagen Golf";121166;"2020";"compact_car"
"Ford Focus";83417;"2020";"compact_car"
"Skoda Octavia";75944;"2020";"compact_car"
"Mercedes-Benz A-Class";63177;"2020";"compact_car"
"Peugeot 308";41124;"2020";"compact_car"
"Opel/Vauxhall Astra";33628;"2020";"compact_car"
"Seat Leon";46117;"2020";"compact_car"
"Toyota Corolla";61200;"2020";"compact_car"
"Renault Megane";31638;"2020";"compact_car"
"Audi A3 / S3 / RS3";37717;"2020";"compact_car"
"BMW 1-series";44773;"2020";"compact_car"
"Kia Ceed";31219;"2020";"compact_car"
"Fiat Tipo";24305;"2020";"compact_car"
"Hyundai i30";22223;"2020";"compact_car"
"Mercedes-Benz CLA";31686;"2020";"compact_car"
"Volvo V40";1588;"2020";"compact_car"
"Skoda Scala";24652;"2020";"compact_car"
"Honda Civic";8146;"2020";"compact_car"
"Mazda3";12129;"2020";"compact_car"
"Hyundai Ioniq";11095;"2020";"compact_car"
"Nissan Leaf";12790;"2020";"compact_car"
"Skoda Rapid";297;"2020";"compact_car"
"BMW 2-series Coupe & Convertible";9745;"2020";"compact_car"
"Mini Clubman";7427;"2020";"compact_car"
"Toyota Auris";66;"2020";"compact_car"
"Alfa Romeo Giulietta";4587;"2020";"compact_car"
"Toyota Prius";2116;"2020";"compact_car"
"Citroën C-Elysee";1396;"2020";"compact_car"
"Lexus CT";1733;"2020";"compact_car"
"Opel Ampera-e";2482;"2020";"compact_car"
"Hyundai Elantra";750;"2020";"compact_car"
"Lada Vesta";292;"2020";"compact_car"
"Subaru Impreza";193;"2020";"compact_car"
"Peugeot 301";247;"2020";"compact_car"
"Infiniti Q30";216;"2020";"compact_car"
"Seat Toledo";5;"2020";"compact_car"
"Nissan Pulsar";2;"2020";"compact_car"
"Volkswagen Beetle";5;"2020";"compact_car"
"DS4";1;"2020";"compact_car"
"Citroën C4";NA;"2020";"compact_car"
"Volkswagen Jetta";7;"2020";"compact_car"
"Mitsubishi Lancer";NA;"2020";"compact_car"
"Volkswagen Scirocco";NA;"2020";"compact_car"
"Tesla Model 3";0;"2018";"electric_vehicle"
