Brand;Sales;Year
OTHER;2091596;2019
KIA;503884;2019
SEAT;508192;2019
HYUNDAI;564061;2019
DACIA;582586;2019
CITROEN;637886;2019
FIAT;660665;2019
TOYOTA;742385;2019
AUDI;744085;2019
SKODA;762804;2019
BMW;800608;2019
OPEL/VAUXHALL;816726;2019
MERCEDES;903082;2019
PEUGEOT;965980;2019
RENAULT;1065000;2019
VOLKSWAGEN;1770525;2019
OTHER;1606425;2018
SEAT;452872;2018
NISSAN;494677;2018
KIA;495105;2018
DACIA;528874;2018
HYUNDAI;543206;2018
CITROEN;599080;2018
FIAT;711946;2018
TOYOTA;714836;2018
AUDI;724723;2018
SKODA;729244;2018
BMW;792150;2018
MERCEDES;872022;2018
OPEL/VAUXHALL;885600;2018
PEUGEOT;972257;2018
FORD;980400;2018
RENAULT;1105920;2018
VOLKSWAGEN;1765130;2018
