"","Date","Model","Sales"
"1","1 2016","BMW 3-series",9092
"2","2 2016","BMW 3-series",11424
"3","3 2016","BMW 3-series",17785
"4","4 2016","BMW 3-series",11507
"5","5 2016","BMW 3-series",12693
"6","6 2016","BMW 3-series",13703
"7","7 2016","BMW 3-series",10946
"8","8 2016","BMW 3-series",6843
"9","9 2016","BMW 3-series",15816
"10","10 2016","BMW 3-series",11202
"11","11 2016","BMW 3-series",12423
"12","12 2016","BMW 3-series",11127
"13","1 2017","BMW 3-series",8423
"14","2 2017","BMW 3-series",10083
"15","3 2017","BMW 3-series",18949
"16","4 2017","BMW 3-series",10520
"17","5 2017","BMW 3-series",10707
"18","6 2017","BMW 3-series",13414
"19","7 2017","BMW 3-series",9506
"20","8 2017","BMW 3-series",7435
"21","9 2017","BMW 3-series",12017
"22","10 2017","BMW 3-series",7684
"23","11 2017","BMW 3-series",9877
"24","12 2017","BMW 3-series",10438
"25","1 2018","BMW 3-series",7955
"26","2 2018","BMW 3-series",7140
"27","3 2018","BMW 3-series",13371
"28","4 2018","BMW 3-series",8270
"29","5 2018","BMW 3-series",9001
"30","6 2018","BMW 3-series",11623
"31","7 2018","BMW 3-series",8823
"32","8 2018","BMW 3-series",7055
"33","9 2018","BMW 3-series",10085
"34","10 2018","BMW 3-series",9354
"35","11 2018","BMW 3-series",8360
"36","12 2018","BMW 3-series",5954
"37","1 2019","BMW 3-series",6872
"38","2 2019","BMW 3-series",6545
"39","3 2019","BMW 3-series",12748
"40","4 2019","BMW 3-series",10251
"41","5 2019","BMW 3-series",11466
"42","6 2019","BMW 3-series",11246
"43","7 2019","BMW 3-series",8527
"44","8 2019","BMW 3-series",6333
"45","9 2019","BMW 3-series",12805
"46","10 2019","BMW 3-series",11101
"47","11 2019","BMW 3-series",13233
"48","12 2019","BMW 3-series",13410
"49","1 2020","BMW 3-series",12543
"50","2 2020","BMW 3-series",10613
"51","3 2020","BMW 3-series",11772
"52","4 2020","BMW 3-series",4029
"53","5 2020","BMW 3-series",4053
"54","6 2020","BMW 3-series",9130
"55","7 2020","BMW 3-series",13192
"56","8 2020","BMW 3-series",7683
"57","9 2020","BMW 3-series",9137
"58","10 2020","BMW 3-series",NA
"59","11 2020","BMW 3-series",NA
"60","12 2020","BMW 3-series",NA
"61","1 2016","BMW 2-series Active Tourer  Gran Tourer",7121
"62","2 2016","BMW 2-series Active Tourer  Gran Tourer",7843
"63","3 2016","BMW 2-series Active Tourer  Gran Tourer",11995
"64","4 2016","BMW 2-series Active Tourer  Gran Tourer",8566
"65","5 2016","BMW 2-series Active Tourer  Gran Tourer",8756
"66","6 2016","BMW 2-series Active Tourer  Gran Tourer",10954
"67","7 2016","BMW 2-series Active Tourer  Gran Tourer",6602
"68","8 2016","BMW 2-series Active Tourer  Gran Tourer",5993
"69","9 2016","BMW 2-series Active Tourer  Gran Tourer",9277
"70","10 2016","BMW 2-series Active Tourer  Gran Tourer",7942
"71","11 2016","BMW 2-series Active Tourer  Gran Tourer",7960
"72","12 2016","BMW 2-series Active Tourer  Gran Tourer",7493
"73","1 2017","BMW 2-series Active Tourer  Gran Tourer",7124
"74","2 2017","BMW 2-series Active Tourer  Gran Tourer",6008
"75","3 2017","BMW 2-series Active Tourer  Gran Tourer",9627
"76","4 2017","BMW 2-series Active Tourer  Gran Tourer",7049
"77","5 2017","BMW 2-series Active Tourer  Gran Tourer",7617
"78","6 2017","BMW 2-series Active Tourer  Gran Tourer",8885
"79","7 2017","BMW 2-series Active Tourer  Gran Tourer",6167
"80","8 2017","BMW 2-series Active Tourer  Gran Tourer",4939
"81","9 2017","BMW 2-series Active Tourer  Gran Tourer",8487
"82","10 2017","BMW 2-series Active Tourer  Gran Tourer",5857
"83","11 2017","BMW 2-series Active Tourer  Gran Tourer",6702
"84","12 2017","BMW 2-series Active Tourer  Gran Tourer",6793
"85","1 2018","BMW 2-series Active Tourer  Gran Tourer",5841
"86","2 2018","BMW 2-series Active Tourer  Gran Tourer",5621
"87","3 2018","BMW 2-series Active Tourer  Gran Tourer",8663
"88","4 2018","BMW 2-series Active Tourer  Gran Tourer",4869
"89","5 2018","BMW 2-series Active Tourer  Gran Tourer",5747
"90","6 2018","BMW 2-series Active Tourer  Gran Tourer",8204
"91","7 2018","BMW 2-series Active Tourer  Gran Tourer",5719
"92","8 2018","BMW 2-series Active Tourer  Gran Tourer",5020
"93","9 2018","BMW 2-series Active Tourer  Gran Tourer",6186
"94","10 2018","BMW 2-series Active Tourer  Gran Tourer",5448
"95","11 2018","BMW 2-series Active Tourer  Gran Tourer",3657
"96","12 2018","BMW 2-series Active Tourer  Gran Tourer",3392
"97","1 2019","BMW 2-series Active Tourer  Gran Tourer",4178
"98","2 2019","BMW 2-series Active Tourer  Gran Tourer",3907
"99","3 2019","BMW 2-series Active Tourer  Gran Tourer",6192
"100","4 2019","BMW 2-series Active Tourer  Gran Tourer",5182
"101","5 2019","BMW 2-series Active Tourer  Gran Tourer",5450
"102","6 2019","BMW 2-series Active Tourer  Gran Tourer",5445
"103","7 2019","BMW 2-series Active Tourer  Gran Tourer",5228
"104","8 2019","BMW 2-series Active Tourer  Gran Tourer",4415
"105","9 2019","BMW 2-series Active Tourer  Gran Tourer",5995
"106","10 2019","BMW 2-series Active Tourer  Gran Tourer",4799
"107","11 2019","BMW 2-series Active Tourer  Gran Tourer",2800
"108","12 2019","BMW 2-series Active Tourer  Gran Tourer",2283
"109","1 2020","BMW 2-series Active Tourer  Gran Tourer",3378
"110","2 2020","BMW 2-series Active Tourer  Gran Tourer",2915
"111","3 2020","BMW 2-series Active Tourer  Gran Tourer",2550
"112","4 2020","BMW 2-series Active Tourer  Gran Tourer",1284
"113","5 2020","BMW 2-series Active Tourer  Gran Tourer",1026
"114","6 2020","BMW 2-series Active Tourer  Gran Tourer",2658
"115","7 2020","BMW 2-series Active Tourer  Gran Tourer",3509
"116","8 2020","BMW 2-series Active Tourer  Gran Tourer",3101
"117","9 2020","BMW 2-series Active Tourer  Gran Tourer",2868
"118","10 2020","BMW 2-series Active Tourer  Gran Tourer",NA
"119","11 2020","BMW 2-series Active Tourer  Gran Tourer",NA
"120","12 2020","BMW 2-series Active Tourer  Gran Tourer",NA
"121","1 2016","BMW 2-series Coupe  Convertible",1764
"122","2 2016","BMW 2-series Coupe  Convertible",1737
"123","3 2016","BMW 2-series Coupe  Convertible",4612
"124","4 2016","BMW 2-series Coupe  Convertible",3118
"125","5 2016","BMW 2-series Coupe  Convertible",3247
"126","6 2016","BMW 2-series Coupe  Convertible",4060
"127","7 2016","BMW 2-series Coupe  Convertible",1966
"128","8 2016","BMW 2-series Coupe  Convertible",1905
"129","9 2016","BMW 2-series Coupe  Convertible",4198
"130","10 2016","BMW 2-series Coupe  Convertible",2366
"131","11 2016","BMW 2-series Coupe  Convertible",2324
"132","12 2016","BMW 2-series Coupe  Convertible",2164
"133","1 2017","BMW 2-series Coupe  Convertible",2089
"134","2 2017","BMW 2-series Coupe  Convertible",1693
"135","3 2017","BMW 2-series Coupe  Convertible",3997
"136","4 2017","BMW 2-series Coupe  Convertible",2101
"137","5 2017","BMW 2-series Coupe  Convertible",2882
"138","6 2017","BMW 2-series Coupe  Convertible",3097
"139","7 2017","BMW 2-series Coupe  Convertible",2245
"140","8 2017","BMW 2-series Coupe  Convertible",1306
"141","9 2017","BMW 2-series Coupe  Convertible",3403
"142","10 2017","BMW 2-series Coupe  Convertible",2248
"143","11 2017","BMW 2-series Coupe  Convertible",2228
"144","12 2017","BMW 2-series Coupe  Convertible",2633
"145","1 2018","BMW 2-series Coupe  Convertible",2099
"146","2 2018","BMW 2-series Coupe  Convertible",2304
"147","3 2018","BMW 2-series Coupe  Convertible",5801
"148","4 2018","BMW 2-series Coupe  Convertible",2315
"149","5 2018","BMW 2-series Coupe  Convertible",2855
