"","2016","2017","2018","2019","2020"
"January","1.764","2.089","2.099","1.412","1.175"
"February","1.737","1.693","2.304","1.437","1.391"
"March","4.612","3.997","5.801","3.304","2.707"
"April","3.118","2.101","2.315","2.368","879"
"May","3.247","2.882","2.855","1.864","1.013"
"June","4.060","3.097","3.529","1.958","2.580"
"July","1.966","2.245","1.670","2.238","4.064"
"August","1.905","1.306","1.496","1.098","3.004"
"September","4.198","3.403","3.317","3.237","5.613"
"October","2.366","2.248","2.117","1.658",NA
"November","2.324","2.228","3.896","3.155",NA
"December","2.164","2.633","3.870","3.138",NA
