"","2016","2017","2018","2019","2020"
"January","1.039","972","944","366","888"
"February","771","776","542","329","748"
"March","1.516","1.362","1.187","619","661"
"April","1.031","866","808","372","511"
"May","1.074","913","749","502","846"
"June","1.286","1.061","1.190","450","759"
"July","1.020","803","622","290","952"
"August","580","483","554","264","949"
"September","1.176","854","1.018","210","1.327"
"October","959","731","728","402",NA
"November","996","829","634","422",NA
"December","1.148","842","469","725",NA
