Brand;Model;Generation;ModificationEngine;Doors;HorsePower;RPM;Max_speed_km_h;Acceleration_0-100kmh_sec;StartingProductionYear;CoupeType;Seats;Length_mm;Width_mm;Height_mm;Wheelbase_mm;FrontTrack_mm;RearBackTrack_mm;MinVolumeTrunk_liter;PositionOfEngine;EngineDisplacement_cm3;Torque;Turbine;PositionOfCylinders;NumberOfCylinders;CylinderBore_mm;PistonStroke_mm;CompressionRatio;NumberOfValvesPerCylinder;FuelType;DriveWheel;NumberOfGearsAutomaticTransmission;FrontSuspension;RearSuspension;ABS;SteeringType;PowerSteering;MinTurningCircle_turningdiameter;FuelConsumptionEconomyUrban_l100km;FuelConsumptionEconomyExtraUrban_l100km;FuelConsumptionEconomyCombined_l100km;EmissionStandard;CO2Emissions_g.km;KerbWeight_kg;NumberOfGearsManualTransmission;FuelTankVolume_L;WidthIncludingMirrors_mm;FrontOverhang_mm;RearOverhang_mm;FuelSystem;FrontBrakes;RearBrakes;PermittedTrailerLoadWithBrakes12_kg;TireSize;WheelRimsSize
BMW;M5;M5 (F90);44 V8 (600 ) xDrive Steptronic;4;600;6700;250;34;2017;Sedan;5;4966;1903;1473;2982;1626;1594;530;Front longitudinal;4395;750 Nm/1800-5600 ;Twin-power turbo;V engine;8;89;883;10;4;Petrol (Gasoline);All wheel drive (4x4);8 Steptronic;Double wishbone;Multi-link independent;yes;Steering rack;Electric Steering;126;145;82;105;EURO VI;241;1855;NA;68;2126;871;1113;Direct injection;Ventilated discs;Ventilated discs;2000;275/40 ZR19;NA
BMW;7er;7er (G12);M760Li (610 ) xDrive Steptronic;4;610;5500;250;37;2017;Sedan;5;5238;1902;1479;3210;1621;1618;515;Front longitudinal;6592;800 Nm/1550 ;Twin-power turbo;V engine;12;89;883;10;4;Petrol (Gasoline);All wheel drive (4x4);8 Steptronic;Double wishbone;Multi-link independent;yes;Steering rack;Electric Steering;129;184;96;128;EURO VI;294;2180;NA;78;2169;880;1148;Direct injection;Ventilated discs;Ventilated discs;2300;245/40 R20;NA
BMW;M4;M4 (F82);GTS 30 (500 ) DCT;2;500;6250;305;38;2016;Coupe;2;4689;1870;1383;2812;1596;1604;445;Front longitudinal;2979;600 Nm/4000-5500 ;Twin-power turbo;Inline;6;84;896;102;4;Petrol (Gasoline);Rear wheel drive;7 DCT;Multi-link suspension;Multi-link independent;yes;Steering rack;Electric Steering;122;112;7;85;EURO VI;199;1510;NA;60;NA;NA;NA;Direct injection;Ventilated discs;Ventilated discs;NA;265/35 ZR19 98Y;NA
BMW;M3;M3 (F80);CS 30 (460 ) MDCT;4;460;6250;280;39;2018;Sedan;5;4671;1877;1424;2812;1579;1604;445;Front longitudinal;2979;600 Nm/4000-5380 ;Twin-power turbo;Inline;6;84;896;102;4;Petrol (Gasoline);Rear wheel drive;7 M DCT;Double wishbone;Multi-link independent;yes;Steering rack;Electric Steering;122;111;67;83;EURO VI;194;1585;NA;60;NA;NA;NA;Direct injection;Ventilated discs;Ventilated discs;NA;265/35 ZR 19 98Y;NA
BMW;M4;M4 (F82);CS 30 (460 ) DCT;2;460;6250;280;39;2017;Coupe;4;4672;1870;1392;2812;1579;1604;445;Front longitudinal;2979;600 Nm/4000-5380 ;Twin-power turbo;Inline;6;84;896;102;4;Petrol (Gasoline);Rear wheel drive;7 M DCT;Double wishbone;Multi-link independent;yes;Steering rack;Electric Steering;122;112;68;84;EURO VI;197;1580;NA;60;NA;NA;NA;Direct injection;Ventilated discs;Ventilated discs;NA;265/35 ZR 19 98Y;NA
BMW;7er;7er (G12);M760Li (600 ) xDrive Steptronic;4;600;5500;250;39;2016;Sedan;5;5238;1902;1485;3210;1611;1640;515;Front longitudinal;6592;800 Nm/1500 ;Twin-power turbo;V engine;12;NA;NA;NA;4;Petrol (Gasoline);All wheel drive (4x4);8 Steptronic Sport;Double wishbone;Multi-link independent;yes;Steering rack;Electric Steering;129;NA;NA;126;EURO VI c;294;2105;NA;78;NA;880;1148;Direct injection;Ventilated discs;Ventilated discs;2300;245/40 R20 90Y;NA
BMW;M6;M6 Coupe (F13M LCI facelift 2016);Competition Edition 44 V8 (600 ) DCT;2;600;6250;250;39;2016;Coupe;4;4898;1899;1375;2851;1631;1612;460;Front longitudinal;4395;700 Nm/1500-6000 ;Twin-power turbo;V engine;8;89;883;10;4;Petrol (Gasoline);Rear wheel drive;7 DCT;Multi-link suspension;Multi-link independent;yes;Steering rack;Electric Steering;121;139;76;99;EURO VI;231;1850;NA;80;NA;NA;NA;Direct injection;Ventilated discs;Ventilated discs;NA;265/35 ZR20 99Y;NA
BMW;M5;M5 (F10M LCI facelift 2014);30 Jahre 44 V8 (600 ) DCT;4;600;6250;250;39;2014;Sedan;5;4910;1891;1457;2964;1627;1582;520;Front longitudinal;4395;700 Nm/1500-6000 ;Twin-power turbo;V engine;8;89;883;10;4;Petrol (Gasoline);Rear wheel drive;7 DCT;Double wishbone;Multi-link independent;yes;Steering rack;Electric Steering;126;139;76;99;EURO VI;231;1870;NA;80;NA;NA;NA;Direct injection;Ventilated discs;Ventilated discs;2000;265/40 R19 102Y;NA
BMW;5er;5er Sedan (G30);M550i (462 ) xDrive Steptronic;4;462;6000;250;4;2016;Sedan;5;4962;1868;1467;2975;1600;1597;530;Front longitudinal;4395;650 Nm/1800-4750 ;Twin-power turbo;V engine;8;89;883;105;4;Petrol (Gasoline);All wheel drive (4x4);8 Steptronic;Double wishbone;Multi-link independent;yes;Steering rack;Electric Steering;1224;127;68;89;EURO VI;204;1810;NA;68;NA;NA;NA;Direct injection;Ventilated discs;Ventilated discs;2000;245/40 R19 98Y;NA
BMW;M3;M3 (F80);30 (450 ) Competition Package DCT;4;450;7000;250;4;2016;Sedan;5;4671;1877;1431;2812;1579;1604;480;Front longitudinal;2979;550 Nm/1850-5500 ;Twin-power turbo;Inline;6;84;896;102;4;Petrol (Gasoline);Rear wheel drive;7 DCT;Independent spring;Multi-link independent;yes;Steering rack;Electric Steering;122;111;67;83;EURO VI;194;1560;NA;60;2037;811;1048;Direct injection;Ventilated discs;Ventilated discs;NA;265/30 ZR20 94Y;NA
