Brand;Base-line;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Previousyear%change
Toyota;86;84;84;84;85;83;82;83;83;85;84;87;87;84;86;86;84;87;85;86;83;82;85;86;83;81;80;-1.2
Honda;85;86;83;82;81;83;82;83;82;82;85;86;86;84;86;88;84;85;83;86;83;80;86;81;83;82;79;-3.7
Mercedes-Benz;85;86;87;87;86;86;87;86;83;83;80;80;82;83;82;86;86;86;85;88;86;83;81;84;82;83;80;-3.6
Saturn (GM);84;83;81;82;85;80;82;80;81;81;81;81;80;81;85;84;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;N/A
Cadillac (GM);83;84;88;84;88;85;86;88;86;87;83;86;84;86;85;89;86;87;86;85;80;80;79;83;82;81;80;-1.2
Buick (GM);83;84;84;83;84;86;86;86;86;84;83;84;86;86;85;88;88;85;87;82;83;80;79;80;80;79;76;-3.8
Oldsmobile (GM);83;84;82;82;82;81;80;81;82;80;80;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;N/A
Nissan;83;82;80;79;77;79;78;80;80;79;81;78;82;80;82;78;82;84;83;83;81;77;80;80;80;75;76;1.3
BMW;82;81;81;80;86;86;84;86;86;85;84;86;85;86;87;87;86;83;86;82;80;82;85;82;82;82;78;-4.9
Volvo;82;84;84;84;81;80;82;81;82;81;80;81;NA;NA;NA;NA;NA;NA;NA;NA;NA;79;NA;82;85;82;78;-4.9
Chrysler (Fiat Chrysler);81;82;80;80;80;79;80;78;80;82;80;80;80;79;80;84;80;76;78;83;81;74;79;79;74;71;73;2.8
Subaru;80;79;83;79;83;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;87;86;85;82;84;85;84;82;79;-3.7
Dodge (Fiat Chrysler);80;77;77;77;78;75;81;77;78;78;75;78;78;80;78;81;78;79;81;79;78;76;78;75;77;74;75;1.4
Automobiles and Light Vehicles;79;80;79;79;79;78;80;80;80;80;79;80;81;82;82;84;82;83;84;83;82;79;82;81;82;79;78;-1.3
Lincoln (Ford);79;84;80;81;83;82;85;82;84;81;86;83;83;86;83;88;89;86;90;NA;NA;83;87;83;84;82;77;-6.1
Mazda;78;77;75;74;77;76;78;78;81;82;78;80;79;78;80;81;80;79;82;82;80;80;80;82;80;77;78;1.3
Jeep (Fiat Chrysler);78;77;76;74;77;77;75;76;79;79;77;78;77;75;76;79;77;79;83;80;79;75;78;80;80;76;76;0.0
Chevrolet (GM);77;79;79;78;79;76;80;78;78;79;77;78;81;82;79;83;80;82;84;79;82;79;83;81;79;80;76;-5.0
Pontiac (GM);76;79;78;78;76;78;78;78;78;76;79;80;79;80;80;81;; ; ; ; ; ; ; ; ; ; ;N/A
Ford;75;79;78;77;77;77;77;78;78;80;76;75;77;80;80;83;82;84;83;83;81;79;81;79;77;77;76;-1.3
Volkswagen;74;76;76;79;78;82;83;81;82;76;80;78;78;80;81;86;81;84;85;84;84;80;78;79;82;77;78;1.3
Hyundai;68;68;69;68;72;68;76;81;78;81;81;84;84;83;83;85;82;83;85;82;81;81;81;83;80;79;76;-3.8
Infiniti (Nissan);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;77;84;NA;78;82;79;-3.7
Fiat (Fiat Chrysler);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;73;NA;75;78;77;76;-1.3
MINI (BMW);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;76;NA;NA;80;NA;NA;N/A
Audi (Volkswagen);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;79;78;83;82;83;82;80;-2.4
Mitsubishi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;77;79;78;79;76;77;1.3
Acura (Honda);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;83;77;83;76;80;81;78;77;-1.3
Lexus (Toyota);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;86;87;87;89;85;87;89;87;84;84;84;86;85;84;82;-2.4
Kia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;77;78;80;81;80;81;82;82;82;78;79;82;79;76;77;1.3
GMC (GM);NA;NA;NA;80;78;81;81;79;81;83;80;81;82;82;83;82;84;83;80;85;82;78;84;84;80;78;78;0.0
All Others;NA;81;79;73;74;76;75;79;77;75;78;76;78;80;82;80;78;81;82;81;81;75;80;80;78;76;76;0.0
Ram (Fiat Chrysler);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;80;80;80;0.0
